Datum,Preis_Boerse_indexiert
2020-01-28,89
2020-01-29,84
2020-01-30,81
2020-01-31,81
2020-02-03,76
2020-02-04,78
2020-02-05,77
2020-02-06,76
2020-02-07,75
2020-02-10,71
2020-02-11,71
2020-02-12,72
2020-02-13,74
2020-02-14,74
2020-02-17,77
2020-02-18,78
2020-02-19,79
2020-02-20,79
2020-02-21,78
2020-02-24,75
2020-02-25,75
2020-02-26,75
2020-02-27,74
2020-02-28,74
2020-03-02,74
2020-03-03,76
2020-03-04,74
2020-03-05,74
2020-03-06,72
2020-03-09,71
2020-03-10,74
2020-03-11,78
2020-03-12,77
2020-03-13,77
2020-03-16,72
2020-03-17,70
2020-03-18,68
2020-03-19,71
2020-03-20,69
2020-03-23,65
2020-03-24,65
2020-03-25,64
2020-03-26,63
2020-03-27,60
2020-03-30,57
2020-03-31,57
2020-04-01,56
2020-04-02,58
2020-04-03,57
2020-04-06,60
2020-04-07,60
2020-04-08,60
2020-04-09,60
2020-04-14,57
2020-04-15,55
2020-04-16,57
2020-04-17,58
2020-04-20,55
2020-04-21,52
2020-04-22,52
2020-04-23,50
2020-04-24,48
2020-04-27,49
2020-04-28,51
2020-04-29,50
2020-04-30,50
2020-05-04,47
2020-05-05,47
2020-05-06,48
2020-05-07,48
2020-05-08,48
2020-05-11,47
2020-05-12,44
2020-05-13,42
2020-05-14,44
2020-05-15,43
2020-05-18,41
2020-05-19,38
2020-05-20,37
2020-05-21,32
2020-05-22,32
2020-05-25,39
2020-05-26,34
2020-05-27,31
2020-05-28,29
2020-05-29,29
2020-06-01,34
2020-06-02,40
2020-06-03,44
2020-06-04,45
2020-06-05,47
2020-06-08,43
2020-06-09,40
2020-06-10,40
2020-06-11,41
2020-06-12,44
2020-06-15,46
2020-06-16,43
2020-06-17,43
2020-06-18,45
2020-06-19,47
2020-06-22,45
2020-06-23,48
2020-06-24,47
2020-06-25,44
2020-06-26,42
2020-06-29,48
2020-06-30,48
2020-07-01,49
2020-07-02,49
2020-07-03,50
2020-07-06,50
2020-07-07,51
2020-07-08,49
2020-07-09,48
2020-07-10,45
2020-07-13,42
2020-07-14,42
2020-07-15,43
2020-07-16,42
2020-07-17,42
2020-07-20,39
2020-07-21,40
2020-07-22,40
2020-07-23,41
2020-07-24,41
2020-07-27,40
2020-07-28,41
2020-07-29,43
2020-07-30,43
2020-07-31,43
2020-08-03,56
2020-08-04,61
2020-08-05,61
2020-08-06,66
2020-08-07,66
2020-08-10,63
2020-08-11,61
2020-08-12,59
2020-08-13,61
2020-08-14,66
2020-08-17,68
2020-08-18,71
2020-08-19,69
2020-08-20,67
2020-08-21,63
2020-08-24,69
2020-08-25,73
2020-08-26,76
2020-08-27,73
2020-08-28,82
2020-08-31,82
2020-09-01,94
2020-09-02,92
2020-09-03,98
2020-09-04,98
2020-09-07,93
2020-09-08,89
2020-09-09,89
2020-09-10,87
2020-09-11,87
2020-09-14,89
2020-09-15,90
2020-09-16,94
2020-09-17,91
2020-09-18,95
2020-09-21,95
2020-09-22,97
2020-09-23,100
2020-09-24,96
2020-09-25,97
2020-09-28,102
2020-09-29,102
2020-09-30,102
2020-10-01,109
2020-10-02,108
2020-10-05,111
2020-10-06,110
2020-10-07,114
2020-10-08,115
2020-10-09,114
2020-10-12,115
2020-10-13,113
2020-10-14,115
2020-10-15,118
2020-10-16,120
2020-10-19,122
2020-10-20,123
2020-10-21,123
2020-10-22,126
2020-10-23,128
2020-10-26,123
2020-10-27,122
2020-10-28,120
2020-10-29,118
2020-10-30,118
2020-11-02,113
2020-11-03,113
2020-11-04,115
2020-11-05,119
2020-11-06,115
2020-11-09,115
2020-11-10,116
2020-11-11,117
2020-11-12,116
2020-11-13,118
2020-11-16,120
2020-11-17,115
2020-11-18,113
2020-11-19,108
2020-11-20,107
2020-11-23,112
2020-11-24,115
2020-11-25,115
2020-11-26,115
2020-11-27,120
2020-11-30,120
2020-12-01,124
2020-12-02,124
2020-12-03,117
2020-12-04,121
2020-12-07,119
2020-12-08,120
2020-12-09,122
2020-12-10,129
2020-12-11,132
2020-12-14,138
2020-12-15,143
2020-12-16,136
2020-12-17,132
2020-12-18,132
2020-12-21,139
2020-12-22,146
2020-12-23,145
2020-12-24,145
2020-12-28,158
2020-12-29,155
2020-12-30,157
2020-12-31,157
2021-01-04,164
2021-01-05,149
2021-01-06,146
2021-01-07,159
2021-01-08,167
2021-01-11,183
2021-01-12,216
2021-01-13,177
2021-01-14,175
2021-01-15,167
2021-01-18,158
2021-01-19,168
2021-01-20,168
2021-01-21,167
2021-01-22,178
2021-01-25,167
2021-01-26,162
2021-01-27,163
2021-01-28,173
2021-01-29,173
2021-02-01,150
2021-02-02,152
2021-02-03,148
2021-02-04,151
2021-02-05,152
2021-02-08,167
2021-02-09,158
2021-02-10,154
2021-02-11,144
2021-02-12,146
2021-02-15,137
2021-02-16,138
2021-02-17,137
2021-02-18,144
2021-02-19,137
2021-02-22,132
2021-02-23,135
2021-02-24,135
2021-02-25,132
2021-02-26,132
2021-03-01,133
2021-03-02,132
2021-03-03,129
2021-03-04,132
2021-03-05,136
2021-03-08,134
2021-03-09,140
2021-03-10,145
2021-03-11,150
2021-03-12,153
2021-03-15,148
2021-03-16,146
2021-03-17,149
2021-03-18,147
2021-03-19,143
2021-03-22,149
2021-03-23,152
2021-03-24,154
2021-03-25,152
2021-03-26,155
2021-03-29,153
2021-03-30,156
2021-03-31,156
2021-04-01,159
2021-04-06,164
2021-04-07,160
2021-04-08,158
2021-04-09,157
2021-04-12,163
2021-04-13,161
2021-04-14,163
2021-04-15,167
2021-04-16,170
2021-04-19,173
2021-04-20,174
2021-04-21,175
2021-04-22,177
2021-04-23,166
2021-04-26,166
2021-04-27,177
2021-04-28,178
2021-04-29,186
2021-04-30,186
2021-05-03,197
2021-05-04,191
2021-05-05,198
2021-05-06,203
2021-05-07,198
2021-05-10,208
2021-05-11,213
2021-05-12,219
2021-05-13,218
2021-05-14,222
2021-05-17,218
2021-05-18,206
2021-05-19,188
2021-05-20,204
2021-05-21,204
2021-05-24,205
2021-05-25,217
2021-05-26,218
2021-05-27,209
2021-05-28,207
2021-05-31,207
2021-06-01,215
2021-06-02,213
2021-06-03,213
2021-06-04,214
2021-06-07,219
2021-06-08,230
2021-06-09,234
2021-06-10,237
2021-06-11,230
2021-06-14,239
2021-06-15,233
2021-06-16,232
2021-06-17,235
2021-06-18,243
2021-06-21,246
2021-06-22,255
2021-06-23,261
2021-06-24,265
2021-06-25,268
2021-06-28,267
2021-06-29,277
2021-06-30,277
2021-07-01,300
2021-07-02,297
2021-07-05,314
2021-07-06,284
2021-07-07,268
2021-07-08,275
2021-07-09,304
2021-07-12,287
2021-07-13,294
2021-07-14,288
2021-07-15,281
2021-07-16,288
2021-07-19,295
2021-07-20,291
2021-07-21,297
2021-07-22,299
2021-07-23,294
2021-07-26,305
2021-07-27,311
2021-07-28,328
2021-07-29,340
2021-07-30,340
2021-08-02,349
2021-08-03,341
2021-08-04,350
2021-08-05,355
2021-08-06,357
2021-08-09,354
2021-08-10,370
2021-08-11,381
2021-08-12,380
2021-08-13,369
2021-08-16,397
2021-08-17,388
2021-08-18,375
2021-08-19,333
2021-08-20,348
2021-08-23,346
2021-08-24,371
2021-08-25,375
2021-08-26,379
2021-08-27,394
2021-08-30,409
2021-08-31,409
2021-09-01,416
2021-09-02,431
2021-09-03,427
2021-09-06,437
2021-09-07,446
2021-09-08,457
2021-09-09,468
2021-09-10,479
2021-09-13,506
2021-09-14,542
2021-09-15,586
2021-09-16,511
2021-09-17,537
2021-09-20,623
2021-09-21,611
2021-09-22,592
2021-09-23,577
2021-09-24,594
2021-09-27,636
2021-09-28,651
2021-09-29,709
2021-09-30,709
2021-10-01,777
2021-10-04,799
2021-10-05,959
2021-10-06,905
2021-10-07,804
2021-10-08,722
2021-10-11,707
2021-10-12,710
2021-10-13,773
2021-10-14,848
2021-10-15,778
2021-10-18,777
2021-10-19,750
2021-10-20,768
2021-10-21,734
2021-10-22,721
2021-10-25,737
2021-10-26,731
2021-10-27,719
2021-10-28,636
2021-10-29,636
2021-11-01,543
2021-11-02,559
2021-11-03,633
2021-11-04,607
2021-11-05,613
2021-11-08,652
2021-11-09,604
2021-11-10,587
2021-11-11,618
2021-11-12,625
2021-11-15,662
2021-11-16,779
2021-11-17,786
2021-11-18,788
2021-11-19,721
2021-11-22,698
2021-11-23,755
2021-11-24,777
2021-11-25,773
2021-11-26,726
2021-11-29,777
2021-11-30,777
2021-12-01,794
2021-12-02,782
2021-12-03,745
2021-12-06,745
2021-12-07,791
2021-12-08,847
2021-12-09,833
2021-12-10,874
2021-12-13,962
2021-12-14,1057
2021-12-15,1101
2021-12-16,1179
2021-12-17,1125
2021-12-20,1217
2021-12-21,1502
2021-12-22,1434
2021-12-23,1100
2021-12-24,925
2021-12-27,878
2021-12-28,882
2021-12-29,799
2021-12-30,724
2021-12-31,724
2022-01-03,664
2022-01-04,736
2022-01-05,755
2022-01-06,795
2022-01-07,734
2022-01-10,704
2022-01-11,650
2022-01-12,625
2022-01-13,706
2022-01-14,716
2022-01-17,637
2022-01-18,648
2022-01-19,628
2022-01-20,621
2022-01-21,652
2022-01-24,767
2022-01-25,775
2022-01-26,759
2022-01-27,766
2022-01-28,762
2022-01-31,762
2022-02-01,628
2022-02-02,643
2022-02-03,665
2022-02-04,683
2022-02-07,658
2022-02-08,640
2022-02-09,612
2022-02-10,614
2022-02-11,641
2022-02-14,668
2022-02-15,571
2022-02-16,577
2022-02-17,619
2022-02-18,611
2022-02-21,599
2022-02-22,662
2022-02-23,732
2022-02-24,1114
2022-02-25,775
2022-02-28,775
2022-03-01,1002
2022-03-02,1364
2022-03-03,1332
2022-03-04,1590
2022-03-07,1916
2022-03-08,1769
2022-03-09,1301
2022-03-10,1024
2022-03-11,1086
2022-03-14,953
2022-03-15,964
2022-03-16,841
2022-03-17,867
2022-03-18,861
2022-03-21,801
2022-03-22,819
2022-03-23,970
2022-03-24,918
2022-03-25,853
2022-03-28,851
2022-03-29,894
2022-03-30,981
2022-03-31,981
2022-04-01,933
2022-04-04,905
2022-04-05,897
2022-04-06,885
2022-04-07,866
2022-04-08,859
2022-04-11,828
2022-04-12,845
2022-04-13,872
2022-04-14,791
2022-04-19,775
2022-04-20,782
2022-04-21,829
2022-04-22,791
2022-04-25,771
2022-04-26,851
2022-04-27,887
2022-04-28,836
2022-04-29,836
2022-05-02,800
2022-05-03,823
2022-05-04,860
2022-05-05,880
2022-05-06,839
2022-05-09,776
2022-05-10,815
2022-05-11,779
2022-05-12,883
2022-05-13,806
2022-05-16,769
2022-05-17,778
2022-05-18,784
2022-05-19,753
2022-05-20,729
2022-05-23,692
2022-05-24,700
2022-05-25,727
2022-05-26,714
2022-05-27,721
2022-05-30,728
2022-05-31,728
2022-06-01,711
2022-06-02,695
2022-06-03,688
2022-06-06,684
2022-06-07,660
2022-06-08,657
2022-06-09,702
2022-06-10,684
2022-06-13,691
2022-06-14,802
2022-06-15,999
2022-06-16,1043
2022-06-17,979
2022-06-20,1011
2022-06-21,1041
2022-06-22,1054
2022-06-23,1105
2022-06-24,1063
2022-06-27,1074
2022-06-28,1070
2022-06-29,1155
2022-06-30,1155
2022-07-01,1219
2022-07-04,1350
2022-07-05,1365
2022-07-06,1404
2022-07-07,1523
2022-07-08,1458
2022-07-11,1367
2022-07-12,1431
2022-07-13,1494
2022-07-14,1448
2022-07-15,1324
2022-07-19,1278
2022-07-20,1277
2022-07-21,1286
2022-07-22,1328
2022-07-25,1460
2022-07-26,1657
2022-07-27,1708
2022-07-28,1648
2022-07-29,1648
2022-08-01,1670
2022-08-02,1697
2022-08-03,1652
2022-08-04,1650
2022-08-05,1623
2022-08-08,1599
2022-08-09,1588
2022-08-10,1705
2022-08-11,1714
2022-08-12,1709
2022-08-15,1820
2022-08-16,1873
2022-08-17,1868
2022-08-18,1992
2022-08-19,2022
2022-08-22,2269
2022-08-23,2224
2022-08-24,2412
2022-08-25,2658
2022-08-26,2787
2022-08-30,2112
2022-08-31,2112
2022-09-01,2015
2022-09-02,1790
2022-09-05,2036
2022-09-06,1977
2022-09-07,1740
2022-09-08,1792
2022-09-09,1711
2022-09-12,1582
2022-09-13,1651
2022-09-14,1797
2022-09-15,1774
2022-09-16,1552
2022-09-19,1511
2022-09-20,1603
2022-09-21,1573
2022-09-22,1556
2022-09-23,1532
2022-10-03,1406
2022-10-04,1339
2022-10-05,1444
2022-10-06,1448
2022-10-07,1298
2022-10-11,1301
2022-10-12,1325
2022-10-13,1273
2022-10-14,1179
2022-10-17,1063
2022-10-18,937
2022-10-19,930
2022-10-20,1050
2022-10-21,938
2022-10-26,863
2022-10-27,890
2022-10-28,929
2022-10-31,929
2022-11-01,960
2022-11-02,1038
2022-11-03,1039
2022-11-04,951
2022-11-07,907
2022-11-08,976
2022-11-09,938
2022-11-10,936
2022-11-11,811
2022-11-14,936
2022-11-15,1023
2022-11-16,949
2022-11-17,931
2022-11-18,952
2022-11-21,959
2022-11-22,991
2022-11-23,1070
2022-11-24,1025
2022-11-25,1031
2022-11-28,1022
2022-11-29,1093
2022-11-30,1093
2022-12-01,1156
2022-12-02,1099
2022-12-05,1110
2022-12-06,1146
2022-12-07,1229
2022-12-08,1155
2022-12-09,1151
2022-12-12,1131
2022-12-13,1138
2022-12-14,1091
2022-12-15,1114
2022-12-16,959
2022-12-19,903
2022-12-20,878
2022-12-21,810
2022-12-22,759
2022-12-23,686
2022-12-27,665
2022-12-28,673
2022-12-29,694
2022-12-30,694
2023-01-02,634
2023-01-03,601
2023-01-04,539
2023-01-05,598
2023-01-06,575
2023-01-09,613
2023-01-10,578
2023-01-11,540
2023-01-12,552
2023-01-13,537
2023-01-16,457
2023-01-17,496
2023-01-18,512
2023-01-19,503
2023-01-20,553
2023-01-23,547
2023-01-24,482
2023-01-25,469
2023-01-26,448
2023-01-27,459
2023-01-30,456
2023-01-31,456
2023-02-01,493
2023-02-02,472
2023-02-03,480
2023-02-06,480
2023-02-07,459
2023-02-08,444
2023-02-09,437
2023-02-10,445
2023-02-13,431
